method,shot_count,adaptation,data_seed,trajectory_count,observed_training_state_count,restricted_mean_vpt_lt,median_vpt_lt,vpt_censoring_fraction,forecast_instability_fraction,mean_restricted_nrmse_auc_native,mean_restricted_nrmse_auc_0_1LT,mean_restricted_nrmse_auc_0_2LT,mean_restricted_nrmse_auc_0_5LT,mean_coordinate_point_crps_native,adaptation_wall_time_seconds,forecast_wall_time_seconds,optimizer_updates,vector_field_evaluations,surrogate_evaluations,parameter_count,trainable_parameter_count,inference_peak_gpu_memory_bytes,probabilistic,forecast_sample_count
panda,16,prediction_head_only,3,128,10240,2.316937553763068,2.192240653245659,0.0078125,0.0,0.0837273301082728,0.0727858307692466,0.1917116282004381,0.5973359059310008,0.0727900022570706,0.9795793741941452,0.7989261671900749,50,0,40,21354624,65536,127336960,False,1
panda,4,prediction_head_only,3,128,2560,2.240580213301711,2.1145987967765416,0.0078125,0.0,0.0825500723060899,0.0716909097721754,0.1915240248347876,0.604446762735414,0.0717195011747535,0.3760320525616407,0.7427877224981785,1,0,40,21354624,65536,127336960,False,1
sindy_weak,1,fit_from_scratch,3,128,640,4.614577111124284,5.0,0.5546875,0.0,0.0017303446957108,0.0013244449421276,0.0061918839894055,0.1028948034135467,0.0015393362904583,0.0036572217941284,1.1804722119122744,1,2856960,0,30,30,0,False,1
sindy_weak,16,fit_from_scratch,3,128,10240,4.908754982280909,5.0,0.90625,0.0,0.0008462044210648,0.0007099899300103,0.0018617628022698,0.0260304738096646,0.0007471729711438,0.0467864628881216,1.163673996925354,1,2856960,0,30,30,0,False,1
sindy_weak,4,fit_from_scratch,3,128,2560,4.889931804639215,5.0,0.890625,0.0,0.000733909390822,0.0006171433429775,0.0016004312652031,0.0236439685595708,0.0006477555662456,0.0121806599199771,1.1605756282806396,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,1,fit_from_scratch,3,128,640,4.709274990628218,5.0,0.65625,0.0,0.001832223777381,0.0015783181571387,0.0048473929430544,0.0741159742463698,0.0016190831264596,0.0037755668163299,1.1571249086409807,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,16,fit_from_scratch,3,128,10240,4.927550674158455,5.0,0.9140625,0.0,0.0007608939899476,0.0006381311075539,0.001678643880097,0.024242492410398,0.000671958397231,0.0470330696552991,1.141120512038469,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,4,fit_from_scratch,3,128,2560,4.90147605823693,5.0,0.90625,0.0,0.0007166216703668,0.0006158490607483,0.001562201705219,0.0229662786207337,0.0006321111824599,0.0123565085232257,1.1614256016910076,1,2856960,0,30,30,0,False,1
panda,0,zero_shot,4,128,0,2.154204707015843,2.0232554362246398,0.0,0.0,0.0927774954680249,0.0819324813796606,0.21096530556123,0.6487950293279411,0.0805187131336156,0.0,1.5479487031698227,0,0,40,21354624,0,127336960,False,1
panda,1,prediction_head_only,4,128,640,2.1535624490119623,2.0232554362246398,0.0,0.0,0.0927741341182159,0.0819285440224767,0.2110206137403471,0.6491030241221034,0.0805157204060422,0.3624170161783695,0.7784776110202074,1,0,40,21354624,65536,127336960,False,1
panda,16,prediction_head_only,4,128,10240,2.2132924433728545,2.1602704770524928,0.0,0.0,0.0932351864120568,0.0825728155082941,0.2098206124666529,0.6421599123074089,0.0810088372739591,1.0667433571070433,0.6690309513360262,50,0,40,21354624,65536,127336960,False,1
panda,4,prediction_head_only,4,128,2560,2.157415997035246,2.0278226042522345,0.0,0.0,0.0928953953289289,0.0820882406568923,0.2109532676441666,0.6503345210521502,0.0806422927240161,0.3252559546381235,0.6635715793818235,1,0,40,21354624,65536,127336960,False,1
sindy_weak,1,fit_from_scratch,4,128,640,4.771190226170097,5.0,0.75,0.0,0.0037578455907724,0.0021835622464335,0.0076099506948711,0.0583686575089612,0.0032957984787517,0.0036307219415903,1.163715360686183,1,2856960,0,30,30,0,False,1
sindy_weak,16,fit_from_scratch,4,128,10240,4.917664137042793,5.0,0.8828125,0.0,0.0011397897722371,0.0007132142015751,0.0045115847581096,0.0251471838530332,0.0009964471021452,0.0467664431780576,1.188626304268837,1,2856960,0,30,30,0,False,1
sindy_weak,4,fit_from_scratch,4,128,2560,4.89146318759254,5.0,0.859375,0.0,0.0009052736609952,0.0007202475758085,0.0038580980405922,0.028874007632627,0.0007953741471046,0.0123152546584606,1.1539514772593975,1,2856960,0,30,30,0,False,1
