method,metric,estimate,ci_lower,ci_upper,bootstrap_resamples,bootstrap_seed,track,noise_level
lorenz_ad_tapered,inference_seconds_per_trajectory,0.008358469924617827,0.00793823307692942,0.00878651120360393,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,vpt_restricted_lt,3.765863154620254,3.4068127424608488,4.189594775667134,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,vpt_restricted_lt,3.9317845630894284,3.534331166144644,4.390676598558761,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,nrmse_auc_0_1LT,0.026197266310828325,0.01811464264022689,0.03468380563652718,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,nrmse_auc_0_1LT,0.024357887433076965,0.017175863252860545,0.03263603024398457,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,nrmse_auc_0_2LT,0.06991698128188167,0.050451322596964096,0.08969477674000124,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,nrmse_auc_0_2LT,0.06443922191416343,0.04659724079482251,0.0847067602151893,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,nrmse_auc_0_5LT,0.3181145722214956,0.24851925931655233,0.3799054753221112,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,nrmse_auc_0_5LT,0.2959135204829898,0.22965141277058018,0.35919608796495367,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,stability_fraction,1.0,1.0,1.0,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,stability_fraction,1.0,1.0,1.0,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,rq_mmd,0.0008407967247309534,0.0004939014382598904,0.0012570784292102333,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,rq_mmd,0.0006874353525609599,0.0005071949244725873,0.0008777180101008003,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,wasserstein_x,0.16638082115761962,0.10022133673340393,0.24209994573253554,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,wasserstein_x,0.2348402094569096,0.1417464353536799,0.3358900625163162,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,wasserstein_y,0.17119274046692942,0.10416115715451046,0.24726246367720733,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,wasserstein_y,0.23875395379219652,0.14454230059845316,0.3415820258454628,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,wasserstein_z,0.0999188948992536,0.06355357647109498,0.1471057310718613,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,wasserstein_z,0.0864678437201963,0.06343109170700097,0.10914268678502353,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,covariance_relative_error,0.010997133879533506,0.007657443068047452,0.014464752127448448,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,covariance_relative_error,0.012083290240657274,0.008664864130958096,0.016233214661064727,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,lyapunov_spectrum_relative_error,0.011328701786960726,0.0086875262839895,0.01413623498649962,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,lyapunov_spectrum_relative_error,0.008464745460472524,0.006351155392517415,0.01052292779841534,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,parameter_relative_error,0.003902739386098353,0.002653907253618936,0.0052365598786897295,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,parameter_relative_error,0.0035755531934437133,0.0024817308084283314,0.004802485141308282,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,training_wall_time_seconds,709.1075316149742,695.3129606838991,720.7203380566649,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,training_wall_time_seconds,707.3521850638092,695.7354040790474,719.8101770839467,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad,inference_seconds_per_trajectory,0.008646636184615347,0.00807935824802065,0.009249721535597865,10000,2026,known_form_hidden_parameters,0.05
lorenz_ad_tapered,inference_seconds_per_trajectory,0.00910687352394836,0.00848089959775577,0.009723035539839924,10000,2026,known_form_hidden_parameters,0.05
pinn_strong,vpt_restricted_lt,0.2690728013590885,0.25427196565965887,0.2847630454572221,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak,vpt_restricted_lt,0.18133560056230802,0.16731534621092908,0.19538463758719235,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak_tapered,vpt_restricted_lt,0.1588851152266607,0.1482758455592244,0.1705742108972853,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,vpt_restricted_lt,5.005616158244253,5.005616158244131,5.005616158244131,10000,2026,known_physics_forward_surrogate,0.0
pinn_strong,nrmse_auc_0_1LT,1.1770365071221351,1.1575483375916757,1.1966632647728406,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak,nrmse_auc_0_1LT,1.213357225279267,1.1986876921699403,1.2283836370702268,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak_tapered,nrmse_auc_0_1LT,1.1526730647479775,1.1383026730902104,1.1672895990072392,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,nrmse_auc_0_1LT,6.212600491915761e-14,5.638127945417895e-14,6.964590431991873e-14,10000,2026,known_physics_forward_surrogate,0.0
pinn_strong,nrmse_auc_0_2LT,1.4573901291230242,1.445349938862234,1.4678165774886667,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak,nrmse_auc_0_2LT,1.4841359887182264,1.475724932980707,1.4921818404466147,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak_tapered,nrmse_auc_0_2LT,1.4317392494327073,1.4231547115301602,1.440193978508902,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,nrmse_auc_0_2LT,1.80609749366014e-13,1.4761617231867983e-13,2.2022749481956602e-13,10000,2026,known_physics_forward_surrogate,0.0
pinn_strong,nrmse_auc_0_5LT,1.804404442056125,1.7500279327286068,1.8643477915274735,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak,nrmse_auc_0_5LT,2.194043347483254,2.16003483648533,2.228563031071156,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak_tapered,nrmse_auc_0_5LT,1.8238046373546721,1.748060355680501,1.9090575262319422,10000,2026,known_physics_forward_surrogate,0.0
